,mentions,score,streaming,network
WAGS,1,3,N/A,E!
Winter,1,3,N/A,Seven Network
The Great British Bake Off,1,3,N/A,Channel 4
Trauma,1,3,N/A,ICI Radio-Canada Télé
Against the Wall,1,3,N/A,Lifetime
The Head,1,3,N/A,HBO Asia
The Young and the Restless,1,3,N/A,CBS
Familie,1,3,N/A,VTM
Dynasty,1,3,N/A,The CW
Divorce,1,3,N/A,HBO
Suspects,1,3,Videoland,
Boris,1,3,Disney+,
The Cult,1,3,N/A,TVNZ 2
Laid,1,3,N/A,ABC
The Face,1,3,N/A,Oxygen
Judge Judy,1,3,N/A,Syndication
Hotel,1,3,N/A,M-Net
Flowers,1,3,N/A,Channel 4
Brush Strokes,1,3,N/A,BBC One
Snow,1,3,N/A,FreeForm
The Nation,1,3,N/A,Nine Network
Dark Shadows,1,3,N/A,NBC
Chefs,1,3,N/A,France 2
Maniac,1,3,TV 2 Play,
Camping,1,3,N/A,HBO
Fauda,1,3,N/A,Yes
Abandoned,1,3,N/A,Vice TV
Shannon,1,3,N/A,CBS
Innocent,1,3,N/A,ITV
Solved,1,3,N/A,Investigation Discovery
Toma,1,3,N/A,ABC
Grand,1,3,N/A,NBC
The Phone,1,3,N/A,RTL5
Monarchy,1,3,N/A,Channel 4
Island,1,3,N/A,Tokyo MX
Shrill,1,3,Hulu,
Flood,1,3,N/A,ITV
Kill It,1,3,N/A,OCN
Tommy,1,3,N/A,CBS
Sherwood,1,3,N/A,BBC One
WandaVision,1,3,Disney+,
Our Kid,1,3,N/A,ITV
Wilder,1,3,N/A,SRF 1
Bigger,1,3,BET+,
Hypno,1,3,ICI Tou.tv,
Reckoning,1,3,TVNZ+,
Survive,1,3,Quibi,
The House,1,3,Netflix,
The Choice,1,3,N/A,ON
Wilderness,1,3,N/A,ITV
Damaged,1,3,Hungama,
Rooms,1,3,N/A,ITV
Monarch,1,3,N/A,FOX
The Resort,1,3,Peacock,
Good News,1,3,N/A,UPN
Wordplay,1,3,N/A,NBC
Marriage,1,3,BBC iPlayer,
A Friend of the Family,1,3,Peacock,
Good Job,1,3,N/A,ENA
Karen,3,2,N/A,ABC
Karen Pirie,3,2,ITVX,
Manhunt,2,2,N/A,ITV
Magpie Murders,2,2,BritBox,
Regret,2,2,Shahid,
Forever,1,2,Netflix,
The Lottery,1,2,N/A,Lifetime
Utopia,1,2,Prime Video,
The Simpsons,1,2,N/A,FOX
Twin Peaks,1,2,N/A,Showtime
The Legend of Korra,1,2,N/A,Nickelodeon
Awkward.,1,2,N/A,MTV
Black Mirror,1,2,Netflix,
MasterChef,1,2,N/A,BBC One
Six Feet Under,1,2,N/A,HBO
